,slug,playtime,released,rating,rating_top,ratings_count,reviews_text_count,added,metacritic,suggestions_count,updated,tags,reviews_count,genres,yet,owned,beaten,toplay,dropped,playing
1021,ea-sports-fifa-soccer-13,0,9/25/2012,0,0,1,0,1,,281,2019-01-18T10:27:35,"Soccer, online",1,,0,0,1,0,0,0
1022,crash-n-the-boys-street-challenge,0,9/14/2009,0,0,0,0,1,,500,2020-04-17T07:38:43,"school, NES",0,,0,1,0,0,0,0
1023,101-pony-pets-3d,0,7/24/2014,0,0,0,0,1,,152,2019-01-09T12:41:06,"Minigames, love",0,,0,1,0,0,0,0
1024,sabans-power-rangers-super-megaforce,0,10/28/2014,0,0,0,0,1,,164,2019-01-09T12:41:06,,0,,0,1,0,0,0,0
1025,big-hero-6-battle-in-the-bay,0,10/28/2014,0,0,0,0,1,,63,2019-01-09T12:41:06,"friends, hero",0,,0,1,0,0,0,0
1026,hazumi,0,12/11/2014,0,0,0,0,1,,56,2019-01-09T12:41:06,,0,,0,1,0,0,0,0
1027,3d-fantasy-zone,0,2/12/2015,0,0,0,0,1,,84,2019-01-09T12:41:06,"fight, spaceship",0,,0,1,0,0,0,0
1028,my-horse-3d-best-friends,0,4/30/2015,0,0,0,0,1,,106,2019-01-09T12:41:06,"Blood, Cute",0,,0,1,0,0,0,0
1029,3d-thunder-blade,0,5/14/2015,0,0,0,0,1,,202,2019-01-09T12:41:06,"Music, combat",0,,0,1,0,0,0,0
1030,psycho-pigs,0,10/6/2016,0,0,0,0,1,,146,2019-01-09T12:41:06,"online, versus",0,,0,1,0,0,0,0
1031,infinite-golf,0,5/4/2017,0,0,0,0,1,,81,2019-07-29T07:42:12,"Golf, calm",0,"Action, Sports",0,0,0,1,0,0
1032,deer-drive-legends,0,5/29/2012,0,0,0,0,1,,326,2019-11-20T11:41:03,,0,,0,0,0,1,0,0
1033,pet-zombies,0,10/18/2011,0,0,0,0,1,,263,2019-01-09T12:41:06,"Zombies, ball",0,,0,1,0,0,0,0
1034,lets-ride-best-in-breed-3d,0,3/20/2012,0,0,0,0,1,,226,2019-01-09T12:41:06,"horse, fun",0,,0,1,0,0,0,0
1035,the-sword-of-hope-ii,0,7/12/2012,0,0,0,0,1,,118,2019-01-09T12:41:06,,0,,0,1,0,0,0,0
1036,heyawake-by-nikoli,0,9/6/2012,0,0,0,0,1,,102,2019-01-09T12:41:06,,0,,0,1,0,0,0,0
1037,nurikabe-by-nikoli,0,10/11/2012,0,0,0,0,1,,162,2019-01-09T12:41:06,,0,,0,1,0,0,0,0
1038,bloody-vampire,0,4/25/2012,0,0,0,0,1,,186,2019-09-12T06:37:34,"exclusive, true exclusive",0,,0,1,0,0,0,0
1039,crash-city-mayhem,0,7/2/2013,0,0,0,0,1,,164,2019-01-09T12:41:06,"run, race",0,,0,1,0,0,0,0
1040,bike-rider-dx,0,8/1/2013,0,0,0,0,1,,141,2019-01-09T12:41:06,"Endless, bike",0,,0,1,0,0,0,0
1041,summer-carnival-92-recca,0,8/22/2013,0,0,1,0,1,,169,2019-01-09T12:41:06,"Survival, NES",1,,0,0,0,0,1,0
1042,darts-up-3d,0,9/5/2013,0,0,0,0,1,,54,2019-01-09T12:41:06,"friends, fun",0,,0,1,0,0,0,0
1043,travel-adventures-with-hello-kitty,0,10/1/2013,0,0,0,0,1,,56,2019-01-09T12:41:06,,0,,0,1,0,0,0,0
1044,pinball-revenge-of-the-gator,0,10/17/2013,0,0,0,0,1,,132,2019-01-09T12:41:06,,0,,0,0,1,0,0,0
1045,angry-bunnies,0,10/31/2013,0,0,0,0,1,,144,2019-01-09T12:41:06,"Physics, Logic",0,,0,1,0,0,0,0
1046,my-baby-pet-hotel-3d,0,11/7/2013,0,0,0,0,1,,181,2019-01-09T12:41:06,"Education, cats",0,,0,1,0,0,0,0
1047,lego-friends,0,11/12/2013,0,0,0,0,1,,224,2019-07-30T20:04:45,"Soccer, friends",0,,0,1,0,0,0,0
1048,world-conqueror-3d,0,11/14/2013,0,0,0,0,1,,203,2019-01-09T12:41:06,,0,,0,1,0,0,0,0
